objectid,stn_name,stn_no,x,y,latitude,longitude,color,location
12,ADMIRALTY MRT STATION,NS10,24402.1063,46918.1131,1.440585001,103.8009982,RED,POINT(103.8009982 1.440585001)
16,ALJUNIED MRT STATION,EW9,33518.6049,33190.0020,1.316432612,103.882893,GREEN,POINT(103.882893 1.316432612)
33,ANG MO KIO MRT STATION,NS16,29807.2655,39105.7720,1.369933175,103.8495535,RED,POINT(103.8495535 1.369933175)
81,BAKAU LRT STATION,SE3,36026.0821,41113.8766,1.388092704,103.9054179,OTHERS,POINT(103.9054179 1.388092704)
80,BANGKIT LRT STATION,BP9,21248.2460,40220.9693,1.380017897,103.7726667,OTHERS,POINT(103.7726667 1.380017897)
153,BARTLEY MRT STATION,CC12,33168.3039,36108.7003,1.342828338,103.8797462,YELLOW,POINT(103.8797462 1.342828338)
115,BAYFRONT MRT STATION,CE1,30867.0093,29368.6250,1.281873788,103.8590733,OTHERS,POINT(103.8590733 1.281873788)
115,BAYFRONT MRT STATION,DT16,30867.0093,29368.6250,1.281873788,103.8590733,BLUE,POINT(103.8590733 1.281873788)
140,BEAUTY WORLD MRT STATION,DT5,21598.1665,35931.2359,1.341223176,103.77581,BLUE,POINT(103.77581 1.341223176)
37,BEDOK MRT STATION,EW5,38757.9520,34024.7048,1.323979969,103.9299587,GREEN,POINT(103.9299587 1.323979969)
143,BEDOK NORTH MRT STATION,DT29,37421.7438,35214.6804,1.334742117,103.9179554,BLUE,POINT(103.9179554 1.334742117)
149,BEDOK RESERVOIR MRT STATION,DT30,39008.3132,35421.0409,1.33660783,103.9322077,BLUE,POINT(103.9322077 1.33660783)
100,BENCOOLEN MRT STATION,DT21,29899.2575,31247.3368,1.29886427,103.8503799,BLUE,POINT(103.8503799 1.29886427)
99,BENDEMEER MRT STATION,DT23,31300.8084,32884.7382,1.313672233,103.8629702,BLUE,POINT(103.8629702 1.313672233)
109,BISHAN MRT STATION,CC15,29762.3507,37046.3699,1.35130868,103.84915,YELLOW,POINT(103.84915 1.35130868)
158,BISHAN MRT STATION,NS17,29649.8988,36994.4330,1.350838988,103.8481398,RED,POINT(103.8481398 1.350838988)
178,BOON KENG MRT STATION,NE9,31157.0712,33517.6089,1.319395706,103.861679,PURPLE,POINT(103.861679 1.319395706)
34,BOON LAY MRT STATION,EW27,13837.9827,35641.9191,1.338604054,103.7060994,GREEN,POINT(103.7060994 1.338604054)
185,BOTANIC GARDENS MRT STATION,CC19,25959.4046,33817.7525,1.322110193,103.8149876,YELLOW,POINT(103.8149876 1.322110193)
159,BOTANIC GARDENS MRT STATION,DT9,26087.2663,33852.4484,1.322423979,103.8161362,BLUE,POINT(103.8161362 1.322423979)
182,BRADDELL MRT STATION,NS18,29500.0972,35848.0687,1.340471684,103.8467942,RED,POINT(103.8467942 1.340471684)
93,BRAS BASAH MRT STATION,CC2,29930.7674,31025.9016,1.296861687,103.8506629,YELLOW,POINT(103.8506629 1.296861687)
183,BUANGKOK MRT STATION,NE15,34655.3132,40537.2069,1.382877858,103.8931042,PURPLE,POINT(103.8931042 1.382877858)
103,BUGIS MRT STATION,DT14,30620.8769,31323.2495,1.299550746,103.8568623,BLUE,POINT(103.8568623 1.299550746)
111,BUGIS MRT STATION,EW12,30491.5648,31424.3503,1.300465076,103.8557007,GREEN,POINT(103.8557007 1.300465076)
32,BUKIT BATOK MRT STATION,NS2,18679.3541,36795.0141,1.349034109,103.74959,RED,POINT(103.74959 1.349034109)
117,BUKIT BROWN MRT STATION,CC18,27707.4166,35102.4802,1.333728882,103.8306903,YELLOW,POINT(103.8306903 1.333728882)
35,BUKIT GOMBAK MRT STATION,NS3,18938.3305,37870.6512,1.358761857,103.7519164,RED,POINT(103.7519164 1.358761857)
47,BUKIT PANJANG LRT STATION,BP6,20175.9353,39987.9068,1.377909898,103.763034,OTHERS,POINT(103.763034 1.377909898)
171,BUKIT PANJANG MRT STATION,DT1,20011.3981,40108.6838,1.379002117,103.7615559,BLUE,POINT(103.7615559 1.379002117)
124,BUONA VISTA MRT STATION,CC22,23251.7611,32090.7692,1.306491669,103.7906645,YELLOW,POINT(103.7906645 1.306491669)
28,BUONA VISTA MRT STATION,EW21,23200.3600,32167.2655,1.307183467,103.7902028,GREEN,POINT(103.7902028 1.307183467)
